Foundation EIN,Foundation name,Foundation city,Foundation state,Foundation county,Foundation.Year formed,Foundation.Most recent tax filings,"Foundation.NTEE code, primary","Foundation.NAICS code, primary",Foundation.Total revenues,Foundation.Total liabilities,Foundation revenues,Foundation assets,Foundation Grant geographic focus,Foundation Total num. grants made,Grant recipient EIN,Grant recipient name,Grant amounts,Fiscal year when grants made,Recipient.Street address,Recipient.City,Recipient.Zip code,Recipient.County,Recipient.Year formed,Recipient.Most recent tax filings,"Recipient.NTEE code, primary","Recipient.NAICS code, primary",Recipient.Has full-time employees,Recipient.Has endowment support,Recipient.Federal funding types,Recipient.Total assets,Recipient.Total revenues,Recipient.Total liabilities,Recipient.Total expenses,Recipient.Number of grants made,Recipient.Median grant amount
95-4564426,The Carl Jud Foundation,"Cathedral City, California",CA,"Riverside County, California",1996,12/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,170118,0,170118,2962795,State,12,33-0731853,Friends of the Palm Springs Animal Shelter,30000,12/1/2024,4575 E Mesquite Ave,Palm Springs,92264,"Riverside County, California",1997,12/1/2023,D20: Animal Protection and Welfare,"813312: Environment, Conservation, and Wildlife Organizations",Yes,No,,2538520,4477407,503117,4609531,,
45-4613889,Theresa A Mike Scholarship Foundation,"Coachella, California",CA,"Riverside County, California",2014,12/1/2024,"B82: Scholarships, Student Financial Aid Services",813211: Grantmaking Foundations,229347,11091,229347,1031955,Metro,2,82-4308876,California Indian Nations College,30000,12/1/2024,75080 Frank Sinatra Dr,Palm Desert,92211,"Riverside County, California",2018,6/1/2023,B42: Undergraduate College (4-year),611210: Community Colleges and Junior Colleges,Yes,No,,7351720,8906072,53204,2421343,1,10000
26-1236033,Stater Bros Charities,"San Bernardino, California",CA,"San Bernardino County, California",2007,12/1/2023,P12: Human Services Fund Raising and Fund Distribution,813211: Grantmaking Foundations,4259141,46579,4259141,5373755,Metro,42,33-0648823,Desert Cancer Foundation,30000,12/1/2023,42-600 Cook St Suite 203,Palm Desert,92260,"Riverside County, California",1995,12/1/2023,G30: Cancer,813212: Health and Disease Research Fundraising Organizations,Yes,Yes,,1441953,889720,119534,769283,,
26-1236033,Stater Bros Charities,"San Bernardino, California",CA,"San Bernardino County, California",2007,12/1/2023,P12: Human Services Fund Raising and Fund Distribution,813211: Grantmaking Foundations,4259141,46579,4259141,5373755,Metro,42,46-2084800,West Coast Thunder,30000,12/1/2023,3890 Orange St 1524,Riverside,92501,"Riverside County, California",2012,12/1/2024,B11: Education Single Organization Support,"8122: Cemeteries, Funeral Homes, and Death Care Services",No,No,,150772,140749,1488,117633,,
47-2818422,FTC Community Foundation,"Piñon Hills, California",CA,"San Bernardino County, California",2015,3/1/2025,T20: Private Foundations,813211: Grantmaking Foundations,10000,0,10000,23616,Metro,1,74-3146328,Transition Habitat Conservancy,30000,3/1/2023,PO Box 721300,Pinon Hills,92372,"San Bernardino County, California",2005,12/1/2023,C34: Land Resources Conservation,"813312: Environment, Conservation, and Wildlife Organizations",Yes,Yes,Project grant; Grant; Cooperative agreement; Sub-grant,33670665,10451405,549687,1261963,,
23-7089096,Anderson Childrens Foundation,"Palm Springs, California",CA,"Riverside County, California",1971,11/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,3729415,17860491,3729415,25287510,Metro,107,46-4126845,Green Room Theatre Company,29800,11/1/2023,74300 Old Prospector Trail,Palm Desert,92260,"Riverside County, California",2013,7/1/2024,A65: Theater,711110: Theater Companies and Dinner Theaters,Yes,No,,178603,513689,0,419422,,
27-3484336,SMJBC Foundation,"Corona, California",CA,"Riverside County, California",2011,12/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,153441,0,153441,951788,State,7,82-3450112,All Arise Shine,29700,12/1/2024,2225 Via Cerro Ste B,Riverside,92509,"Riverside County, California",2017,6/1/2024,X20: Christian,813110: Religious Organizations,No,No,,450005,562810,1500,492144,1,2000
26-2804772,Edeltraud McCarthy Foundation,"Indian Wells, California",CA,"Riverside County, California",2008,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,162010,0,162010,8949730,Metro,24,95-1809576,Palm Springs Art Museum,29450,12/1/2023,101 N Museum Dr,Palm Springs,92262,"Riverside County, California",1938,6/1/2023,A51: Art Museums,"7121: Museums, Historical Sites, and Similar Institutions",Yes,Yes,Project grant; Grant,38254186,7371016,773422,7839352,,
95-4725924,Desert Community Foundation,"Palm Desert, California",CA,"Riverside County, California",1999,6/1/2024,T31: Community Foundations,813211: Grantmaking Foundations,12638234,9312,12638234,50379669,Metro,33,95-6122699,Boys and Girls Club of Coachella Valley,29146,6/1/2024,42-600 Cook St 120,Palm Desert,92211,"Riverside County, California",1964,6/1/2024,"O20: Youth Centers, Boys and Girls Clubs",813410: Civic and Social Organizations,Yes,Yes,,18102357,4473863,351363,3617383,,
23-7089096,Anderson Childrens Foundation,"Palm Springs, California",CA,"Riverside County, California",1971,11/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,3729415,17860491,3729415,25287510,Metro,107,41-2268849,Cielo Vista Charter School Parent Teacher Group,29120,11/1/2023,650 S Paseo Dorotea,Palm Springs,92264,"Riverside County, California",2011,6/1/2025,Z99: ,,No,No,,,,,,,
95-4725924,Desert Community Foundation,"Palm Desert, California",CA,"Riverside County, California",1999,6/1/2024,T31: Community Foundations,813211: Grantmaking Foundations,12638234,9312,12638234,50379669,Metro,33,95-3382683,Annenberg Center for Health Sciences at Eisenhower,29100,6/1/2023,39000 Bob Hope Dr,Rancho Mirage,92270,"Riverside County, California",1979,6/1/2023,E60: Health Support Services,813212: Health and Disease Research Fundraising Organizations,Yes,Yes,,16031625,6451221,3645132,5569402,,
23-7089096,Anderson Childrens Foundation,"Palm Springs, California",CA,"Riverside County, California",1971,11/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,3729415,17860491,3729415,25287510,Metro,107,71-0954077,La Quinta High School Black Hawk Brigade Boosters,29000,11/1/2023,PO Box 5746,La Quinta,92248,"Riverside County, California",1994,12/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,,,,,,,
95-4725924,Desert Community Foundation,"Palm Desert, California",CA,"Riverside County, California",1999,6/1/2024,T31: Community Foundations,813211: Grantmaking Foundations,12638234,9312,12638234,50379669,Metro,33,95-6122699,Boys and Girls Club of Coachella Valley,28985,6/1/2023,42-600 Cook St 120,Palm Desert,92211,"Riverside County, California",1964,6/1/2024,"O20: Youth Centers, Boys and Girls Clubs",813410: Civic and Social Organizations,Yes,Yes,,18102357,4473863,351363,3617383,,
33-0748536,Inland Empire Community Foundation,"Riverside, California",CA,"Riverside County, California",1997,12/1/2023,T31: Community Foundations,813211: Grantmaking Foundations,41121733,24139502,41121733,136860693,Metro,311,84-1179212,Streams in the Desert Foundation,28950,12/1/2023,PO Box 2028,Apple Valley,92307,"San Bernardino County, California",1997,12/1/2023,T31: Community Foundations,813211: Grantmaking Foundations,Yes,No,Formula grant; Grant; Sub-grant,1971062,2133682,30790,2346527,1,9000
33-0547453,Regional Access Project Foundation,"Palm Desert, California",CA,"Riverside County, California",1992,6/1/2024,"S00: Community Improvement, Capacity Building: General",813211: Grantmaking Foundations,4204679,1031248,4204679,7296785,Metro,61,95-3618489,Cathedral Center / Cathedral City Senior Center,28800,6/1/2023,37-171 W Buddy Rogers Ave,Cathedral City,92234,"Riverside County, California",1980,12/1/2023,P81: Senior Centers and Services,624120: Services for the Elderly and People with Disabilities,Yes,No,,387091,1149902,356031,1226683,,
33-0547453,Regional Access Project Foundation,"Palm Desert, California",CA,"Riverside County, California",1992,6/1/2024,"S00: Community Improvement, Capacity Building: General",813211: Grantmaking Foundations,4204679,1031248,4204679,7296785,Metro,61,95-6006700,Desert Arc,28600,6/1/2023,73-255 Country Club Dr,Palm Desert,92260,"Riverside County, California",1959,6/1/2024,J30: Vocational Rehabilitation,624310: Vocational Rehabilitation Services,Yes,No,,15200241,21130299,4573064,20014046,,
23-7089096,Anderson Childrens Foundation,"Palm Springs, California",CA,"Riverside County, California",1971,11/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,3729415,17860491,3729415,25287510,Metro,107,47-2081895,Rancho Mirage High School Instrumental,27389,11/1/2023,PO Box 2641,Rancho Mirage,92270,"Riverside County, California",2015,6/1/2025,T20: Private Foundations,813211: Grantmaking Foundations,No,No,,12913,27948,0,35989,,
33-0419864,Mountain Thrift Shoppe,"Blue Jay, California",CA,"San Bernardino County, California",1990,12/1/2024,P20: Human Service Organizations,624190: Individual and Family Services,300435,-2500,300435,149375,Metro,10,33-0122187,Arrowhead Arts Association,27307,12/1/2023,PO Box 1925,Lake Arrowhead,92352,"San Bernardino County, California",1985,12/1/2024,"A60: Performing Arts Organizations, Activities",711130: Musical Groups and Artists,No,No,,540107,134617,0,140812,,
95-4725924,Desert Community Foundation,"Palm Desert, California",CA,"Riverside County, California",1999,6/1/2024,T31: Community Foundations,813211: Grantmaking Foundations,12638234,9312,12638234,50379669,Metro,33,95-2834871,Friends of the Cultural Center,26000,6/1/2023,73000 Fred Waring Dr,Palm Desert,92260,"Riverside County, California",1973,7/1/2024,A61: Performing Arts Centers,711110: Theater Companies and Dinner Theaters,Yes,Yes,,62867475,23336190,12980283,18829170,,
95-4725924,Desert Community Foundation,"Palm Desert, California",CA,"Riverside County, California",1999,6/1/2024,T31: Community Foundations,813211: Grantmaking Foundations,12638234,9312,12638234,50379669,Metro,33,33-0777892,Martha's Village and Kitchen,25720,6/1/2023,83-791 Date Ave,Indio,92201,"Riverside County, California",1997,12/1/2024,P20: Human Service Organizations,62422: Community Housing Services,Yes,Yes,Formula grant; Grant; Sub-grant,15011613,12097601,6178024,11700562,,
33-0748536,Inland Empire Community Foundation,"Riverside, California",CA,"Riverside County, California",1997,12/1/2023,T31: Community Foundations,813211: Grantmaking Foundations,41121733,24139502,41121733,136860693,Metro,311,83-2035641,Feed My Flock Ministries,25633,12/1/2023,4219 Pondhill CT,Riverside,92505,"Riverside County, California",2019,12/1/2024,X20: Christian,,No,No,,,,,,,
95-3290732,Parkview Legacy Foundation,"Riverside, California",CA,"Riverside County, California",1973,7/1/2024,E11: Health Care Single Organization Support,813211: Grantmaking Foundations,26034938,71107,26034938,40789091,Metro,3,33-0435536,Neighborhood Partnership Housing Services,25573,7/1/2023,9551 Pittsburgh Ave,Rancho Cucamonga,91730,"San Bernardino County, California",1991,6/1/2024,L80: Housing Support Services,62422: Community Housing Services,Yes,No,Formula grant; Project grant; Grant; Sub-grant,22631888,5049017,6865177,2031898,,
33-0260006,Greenbaum-Strauss Foundation,"Rancho Mirage, California",CA,"Riverside County, California",1988,6/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,7820,0,7820,150601,Metro,6,23-7211881,Jewish Federation of Palm Springs and Desert Area,25510,6/1/2024,69710 Hwy 111,Rancho Mirage,92270,"Riverside County, California",1960,6/1/2023,X30: Jewish,813410: Civic and Social Organizations,Yes,Yes,,8078386,2247263,1701249,2162290,16,58750
95-4725924,Desert Community Foundation,"Palm Desert, California",CA,"Riverside County, California",1999,6/1/2024,T31: Community Foundations,813211: Grantmaking Foundations,12638234,9312,12638234,50379669,Metro,33,95-1809576,Palm Springs Art Museum,25500,6/1/2024,101 N Museum Dr,Palm Springs,92262,"Riverside County, California",1938,6/1/2023,A51: Art Museums,"7121: Museums, Historical Sites, and Similar Institutions",Yes,Yes,Project grant; Grant,38254186,7371016,773422,7839352,,
23-7089096,Anderson Childrens Foundation,"Palm Springs, California",CA,"Riverside County, California",1971,11/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,3729415,17860491,3729415,25287510,Metro,107,26-3547211,Pueblo Unido CDC,25410,11/1/2023,78080 Calle Amigo 103,La Quinta,92253,"Riverside County, California",2008,12/1/2024,"L00: Housing, Shelter: General",813410: Civic and Social Organizations,Yes,No,Project grant; Grant,6815294,2475856,548934,1177312,,
33-0748536,Inland Empire Community Foundation,"Riverside, California",CA,"Riverside County, California",1997,12/1/2023,T31: Community Foundations,813211: Grantmaking Foundations,41121733,24139502,41121733,136860693,Metro,311,33-0409158,Pass Chorale,25291,12/1/2023,PO Box 589,Beaumont,92223,"Riverside County, California",1991,12/1/2024,Z99: ,,No,No,,,,,,,
33-0748536,Inland Empire Community Foundation,"Riverside, California",CA,"Riverside County, California",1997,12/1/2023,T31: Community Foundations,813211: Grantmaking Foundations,41121733,24139502,41121733,136860693,Metro,311,95-6130458,Eisenhower Medical Center,25250,12/1/2023,39000 Bob Hope Dr,Rancho Mirage,92270,"Riverside County, California",1966,6/1/2024,"E22: Hospital, General",622: Hospitals,Yes,Yes,Project grant; Grant; Cooperative agreement; Sub-grant,1647706542,1385478306,635850647,1247393979,32,10803
95-4725924,Desert Community Foundation,"Palm Desert, California",CA,"Riverside County, California",1999,6/1/2024,T31: Community Foundations,813211: Grantmaking Foundations,12638234,9312,12638234,50379669,Metro,33,95-1809576,Palm Springs Art Museum,25250,6/1/2023,101 N Museum Dr,Palm Springs,92262,"Riverside County, California",1938,6/1/2023,A51: Art Museums,"7121: Museums, Historical Sites, and Similar Institutions",Yes,Yes,Project grant; Grant,38254186,7371016,773422,7839352,,
33-0748536,Inland Empire Community Foundation,"Riverside, California",CA,"Riverside County, California",1997,12/1/2023,T31: Community Foundations,813211: Grantmaking Foundations,41121733,24139502,41121733,136860693,Metro,311,46-5672593,Scholarship America - Greater Riverside Dollars for Schol,25206,12/1/2023,PO Box 1178,Riverside,92502,"Riverside County, California",1962,12/1/2021,"B82: Scholarships, Student Financial Aid Services",611710: Educational Support Services,No,No,,,,,,,
33-0419864,Mountain Thrift Shoppe,"Blue Jay, California",CA,"San Bernardino County, California",1990,12/1/2024,P20: Human Service Organizations,624190: Individual and Family Services,300435,-2500,300435,149375,Metro,10,95-2460332,California Federation of Women's Clubs - Womans Club of Lake Arrowhead,25105,12/1/2024,PO Box 1981,LK Arrowhead,92352,"San Bernardino County, California",1998,5/1/2019,S80: Community Service Clubs,,No,No,,,,,,,
52-1757452,HN and Frances C Berger Foundation,"Palm Desert, California",CA,"Riverside County, California",1996,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,27759670,2040450,27759670,489101990,Metro,121,45-5376014,Autism Society Inland Empire,25000,12/1/2023,420 N Mckiney St 111-118,Corona,92879,"Riverside County, California",2012,12/1/2023,G84: Autism,813410: Civic and Social Organizations,Yes,No,,642185,1095195,241568,1008123,,
52-1757452,HN and Frances C Berger Foundation,"Palm Desert, California",CA,"Riverside County, California",1996,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,27759670,2040450,27759670,489101990,Metro,121,33-0648823,Desert Cancer Foundation,25000,12/1/2023,42-600 Cook St Suite 203,Palm Desert,92260,"Riverside County, California",1995,12/1/2023,G30: Cancer,813212: Health and Disease Research Fundraising Organizations,Yes,Yes,,1441953,889720,119534,769283,,
52-1757452,HN and Frances C Berger Foundation,"Palm Desert, California",CA,"Riverside County, California",1996,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,27759670,2040450,27759670,489101990,Metro,121,45-4384613,Mama's HOUSE MINISTRIES,25000,12/1/2023,PO Box 1816,Palm Desert,92261,"Riverside County, California",2012,6/1/2024,P40: Family Services,624190: Individual and Family Services,Yes,No,,10588886,2569348,476480,1579048,,
52-1757452,HN and Frances C Berger Foundation,"Palm Desert, California",CA,"Riverside County, California",1996,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,27759670,2040450,27759670,489101990,Metro,121,26-4437263,Old Town Artisan Studio,25000,12/1/2023,78-046 Calle Barcelona,La Quinta,92253,"Riverside County, California",2009,12/1/2023,"A40: Visual Art Organizations, Services",711190: Other Performing Arts Companies,Yes,Yes,,5283096,1659454,337153,1292237,,
52-1757452,HN and Frances C Berger Foundation,"Palm Desert, California",CA,"Riverside County, California",1996,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,27759670,2040450,27759670,489101990,Metro,121,95-4304276,Parkinson's Resource Organization,25000,12/1/2023,74-785 Hwy 111 Ste 208,Indian Wells,92210,"Riverside County, California",1990,12/1/2024,G20: Birth Defects and Genetic Diseases,813212: Health and Disease Research Fundraising Organizations,Yes,No,,1416414,330835,7372,640145,,
52-1757452,HN and Frances C Berger Foundation,"Palm Desert, California",CA,"Riverside County, California",1996,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,27759670,2040450,27759670,489101990,Metro,121,20-0028619,Hanson House Foundation,25000,12/1/2023,380 E Paseo El Mirador,Palm Springs,92262,"Riverside County, California",2001,6/1/2024,E86: Patient Services,624110: Child and Youth Services,Yes,No,,1654432,585812,0,608777,,
52-1757452,HN and Frances C Berger Foundation,"Palm Desert, California",CA,"Riverside County, California",1996,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,27759670,2040450,27759670,489101990,Metro,121,33-0006007,FIND Food Bank,25000,12/1/2023,83775 Citrus Ave,Indio,92201,"Riverside County, California",1983,6/1/2024,"K31: Food Banks, Food Pantries",624210: Community Food Services,Yes,No,Formula grant; Grant; Sub-grant,23659486,51971271,1316485,47750830,70,0
52-1757452,HN and Frances C Berger Foundation,"Palm Desert, California",CA,"Riverside County, California",1996,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,27759670,2040450,27759670,489101990,Metro,121,95-3465382,Camp Alandale,25000,12/1/2023,42193 Santa Ana River Rd,Angelus Oaks,92305,"San Bernardino County, California",1979,9/1/2024,N20: Recreational and Sporting Camps,624110: Child and Youth Services,Yes,Yes,,2252951,861925,25658,825988,,
52-1757452,HN and Frances C Berger Foundation,"Palm Desert, California",CA,"Riverside County, California",1996,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,27759670,2040450,27759670,489101990,Metro,121,33-0233725,Children's Discovery Museum of The Desert,25000,12/1/2023,71-701 Gerald Ford Dr,Rancho Mirage,92270,"Riverside County, California",1987,6/1/2023,A52: Childrens Museums,"7121: Museums, Historical Sites, and Similar Institutions",Yes,No,,5309544,838468,815323,570660,,
52-1757452,HN and Frances C Berger Foundation,"Palm Desert, California",CA,"Riverside County, California",1996,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,27759670,2040450,27759670,489101990,Metro,121,47-4371116,California Paws Rescue,25000,12/1/2023,73650 Dinah Shore Dr,Palm Desert,92211,"Riverside County, California",2015,12/1/2024,D20: Animal Protection and Welfare,"813312: Environment, Conservation, and Wildlife Organizations",No,No,,85596,288110,12065,295777,,
52-1757452,HN and Frances C Berger Foundation,"Palm Desert, California",CA,"Riverside County, California",1996,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,27759670,2040450,27759670,489101990,Metro,121,45-0577390,Umbrella Ministries,25000,12/1/2023,PO Box 4906,Palm Springs,92263,"Riverside County, California",2008,12/1/2024,F60: Counseling Support Groups,624190: Individual and Family Services,No,No,,108751,190240,2977,185117,,
52-1757452,HN and Frances C Berger Foundation,"Palm Desert, California",CA,"Riverside County, California",1996,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,27759670,2040450,27759670,489101990,Metro,121,33-0694580,The Well in the Desert,25000,12/1/2023,PO Box 5312,Palm Springs,92263,"Riverside County, California",1996,12/1/2023,"L41: Homeless, Temporary Shelter",624210: Community Food Services,No,No,,227620,355281,60440,384469,,
52-1757452,HN and Frances C Berger Foundation,"Palm Desert, California",CA,"Riverside County, California",1996,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,27759670,2040450,27759670,489101990,Metro,121,33-0278817,Variety Childrens Charities of the Desert Tent 66,25000,12/1/2023,42600 Cook St 150,Palm Desert,92211,"Riverside County, California",1987,9/1/2024,P12: Human Services Fund Raising and Fund Distribution,624110: Child and Youth Services,Yes,No,,436431,891663,151055,918262,1,10000
52-1757452,HN and Frances C Berger Foundation,"Palm Desert, California",CA,"Riverside County, California",1996,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,27759670,2040450,27759670,489101990,Metro,121,82-3900893,Ronnies House for Hope,25000,12/1/2023,41590 Balaclava Dr,Bermuda Dunes,92203,"Riverside County, California",2018,12/1/2024,F60: Counseling Support Groups,,No,No,,,,,,,
52-1757452,HN and Frances C Berger Foundation,"Palm Desert, California",CA,"Riverside County, California",1996,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,27759670,2040450,27759670,489101990,Metro,121,51-0142318,Friends of the Palm Springs Library,25000,12/1/2023,300 S Sunrise Way,Palm Springs,92262,"Riverside County, California",1975,12/1/2022,"B70: Libraries, Library Science",51912: Libraries and Archives,No,No,,1186117,106439,0,110265,2,16881
23-7089096,Anderson Childrens Foundation,"Palm Springs, California",CA,"Riverside County, California",1971,11/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,3729415,17860491,3729415,25287510,Metro,107,95-1967727,Girl Scouts of San Gorgonio Council,25000,11/1/2023,1751 Plum LN,Redlands,92374,"San Bernardino County, California",1961,9/1/2024,O40: Scouting Organizations,813410: Civic and Social Organizations,Yes,Yes,Project grant; Grant,15982125,6410586,5225404,7606398,,
23-7089096,Anderson Childrens Foundation,"Palm Springs, California",CA,"Riverside County, California",1971,11/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,3729415,17860491,3729415,25287510,Metro,107,45-4384613,Mama's HOUSE MINISTRIES,25000,11/1/2023,PO Box 1816,Palm Desert,92261,"Riverside County, California",2012,6/1/2024,P40: Family Services,624190: Individual and Family Services,Yes,No,,10588886,2569348,476480,1579048,,
23-7089096,Anderson Childrens Foundation,"Palm Springs, California",CA,"Riverside County, California",1971,11/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,3729415,17860491,3729415,25287510,Metro,107,33-0241242,Friends of the Desert Mountains,25000,11/1/2024,PO Box 1281,Palm Desert,92261,"Riverside County, California",1987,12/1/2024,C34: Land Resources Conservation,"813312: Environment, Conservation, and Wildlife Organizations",Yes,Yes,Grant; Cooperative agreement,24407089,1139044,72661,1650121,,
23-7089096,Anderson Childrens Foundation,"Palm Springs, California",CA,"Riverside County, California",1971,11/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,3729415,17860491,3729415,25287510,Metro,107,26-2945415,Camp of Champions,25000,11/1/2024,64 477 Spyglass Ave,Desert Hot Springs,92240,"Riverside County, California",2008,12/1/2023,N20: Recreational and Sporting Camps,"713990: Amateur Sports, Youth Sports, and Recreational Services",Yes,No,,130367,676019,207032,579623,,
23-7089096,Anderson Childrens Foundation,"Palm Springs, California",CA,"Riverside County, California",1971,11/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,3729415,17860491,3729415,25287510,Metro,107,51-0142318,Friends of the Palm Springs Library,25000,11/1/2023,300 S Sunrise Way,Palm Springs,92262,"Riverside County, California",1975,12/1/2022,"B70: Libraries, Library Science",51912: Libraries and Archives,No,No,,1186117,106439,0,110265,2,16881
23-7089096,Anderson Childrens Foundation,"Palm Springs, California",CA,"Riverside County, California",1971,11/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,3729415,17860491,3729415,25287510,Metro,107,27-3971419,Shadow Hills High School Band Boosters,25000,11/1/2024,39225 Jefferson St,Indio,92203,"Riverside County, California",2010,6/1/2024,B80: Student Services and Organizations of Students,813410: Civic and Social Organizations,No,No,,48522,59029,0,49387,,
23-7089096,Anderson Childrens Foundation,"Palm Springs, California",CA,"Riverside County, California",1971,11/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,3729415,17860491,3729415,25287510,Metro,107,13-3762114,Midtown Torah Forum,25000,11/1/2024,72295 Via Marta,Rancho Mirage,92270,"Riverside County, California",1994,,X30: Jewish,813110: Religious Organizations,No,No,,,,,,,
20-3905708,Buster Family Foundation,"Redlands, California",CA,"San Bernardino County, California",2007,12/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,53554,0,53554,1158191,Metro,14,33-0932158,Redlands Historical Museum Association,25000,12/1/2023,PO Box 470,Redlands,92373,"San Bernardino County, California",2000,12/1/2023,A54: History Museums,"7121: Museums, Historical Sites, and Similar Institutions",No,Yes,,28864587,5461589,1547386,155847,,
33-0748536,Inland Empire Community Foundation,"Riverside, California",CA,"Riverside County, California",1997,12/1/2023,T31: Community Foundations,813211: Grantmaking Foundations,41121733,24139502,41121733,136860693,Metro,311,84-1966709,Alianza Coachella Valley,25000,12/1/2023,PO Box 38,Coachella,92236,"Riverside County, California",2019,6/1/2024,"S20: Community, Neighborhood Development, Improvement",813319: Social Advocacy Organizations,Yes,No,Project grant; Grant; Sub-grant,6757711,3064046,383046,1773966,,
33-0748536,Inland Empire Community Foundation,"Riverside, California",CA,"Riverside County, California",1997,12/1/2023,T31: Community Foundations,813211: Grantmaking Foundations,41121733,24139502,41121733,136860693,Metro,311,23-7078944,Humane Society of San Bernardino Valley,25000,12/1/2023,374 W Orange Show Rd,San Bernardino,92408,"San Bernardino County, California",1970,3/1/2024,D20: Animal Protection and Welfare,"813312: Environment, Conservation, and Wildlife Organizations",Yes,Yes,,11676687,2843792,131393,3346862,,
33-0748536,Inland Empire Community Foundation,"Riverside, California",CA,"Riverside County, California",1997,12/1/2023,T31: Community Foundations,813211: Grantmaking Foundations,41121733,24139502,41121733,136860693,Metro,311,26-4539631,Victor Valley Family Resource Center,25000,12/1/2023,16000 Yucca St,Hesperia,92345,"San Bernardino County, California",2009,12/1/2023,P85: Homeless Persons Centers and Services,624190: Individual and Family Services,Yes,No,Formula grant; Grant; Sub-grant,648814,1352246,636305,1425009,,
33-0748536,Inland Empire Community Foundation,"Riverside, California",CA,"Riverside County, California",1997,12/1/2023,T31: Community Foundations,813211: Grantmaking Foundations,41121733,24139502,41121733,136860693,Metro,311,95-1655614,Family Service Association of Redlands,25000,12/1/2023,612 Lawton Ave,Redlands,92374,"San Bernardino County, California",1898,12/1/2023,P20: Human Service Organizations,624190: Individual and Family Services,Yes,Yes,Formula grant; Grant; Sub-grant,5729329,2068592,819535,2112035,,
33-0748536,Inland Empire Community Foundation,"Riverside, California",CA,"Riverside County, California",1997,12/1/2023,T31: Community Foundations,813211: Grantmaking Foundations,41121733,24139502,41121733,136860693,Metro,311,23-7211881,Jewish Federation of Palm Springs and Desert Area,25000,12/1/2023,69710 Hwy 111,Rancho Mirage,92270,"Riverside County, California",1960,6/1/2023,X30: Jewish,813410: Civic and Social Organizations,Yes,Yes,,8078386,2247263,1701249,2162290,16,58750
33-0748536,Inland Empire Community Foundation,"Riverside, California",CA,"Riverside County, California",1997,12/1/2023,T31: Community Foundations,813211: Grantmaking Foundations,41121733,24139502,41121733,136860693,Metro,311,33-0711527,Todec Legal Center Perris,25000,12/1/2023,PO Box 1235,Moreno Valley,92556,"Riverside County, California",1996,6/1/2024,P20: Human Service Organizations,5411: Legal Services,Yes,No,,7397135,7456161,2554436,7104739,,
33-0748536,Inland Empire Community Foundation,"Riverside, California",CA,"Riverside County, California",1997,12/1/2023,T31: Community Foundations,813211: Grantmaking Foundations,41121733,24139502,41121733,136860693,Metro,311,82-1561015,Academy of Musical Performance,25000,12/1/2023,82719 Miles Ave,Indio,92201,"Riverside County, California",2017,12/1/2024,A68: Music,711130: Musical Groups and Artists,Yes,No,,14920,125726,0,171090,,
33-0547453,Regional Access Project Foundation,"Palm Desert, California",CA,"Riverside County, California",1992,6/1/2024,"S00: Community Improvement, Capacity Building: General",813211: Grantmaking Foundations,4204679,1031248,4204679,7296785,Metro,61,95-3652725,Soroptimist House of Hope,25000,6/1/2023,13525 Cielo Azul Way,Desert Hot Springs,92240,"Riverside County, California",1981,6/1/2024,"F20: Alcohol, Drug, and Substance Abuse, Dependency Prevention and Treatment",624190: Individual and Family Services,Yes,No,,690645,811444,31626,772165,,
