EIN,Org name,Acronym,Website URL,Street address,City,Zip code,County,Year formed,Most recent tax filings,"NTEE code, primary","NAICS code, primary",California FTB status revoked,Has full-time employees,Has endowment support,Federal funding types,Total assets,Total revenues,Number of grants received,"Total grants, contributions, etc.: Percent of revenues",Total liabilities,Total expenses,Total general management expenses: Percent of expenses,Total program-related expenses: Percent of expenses,"All salaries, compensation, and employee benefits: Percent of expenses",Number of grants made,Median grant amount
47-0971536,Light of the World Ministries International,,,2114 Canyon View LN,Redlands,92373,"San Bernardino County, California",2014,12/1/2023,X20: Christian,813110: Religious Organizations,No,No,No,,0,0,0,0,0,0,0,0,0,,
46-5525996,Inland Urban Forest Council,,https://inlandurbanforestcouncil.org/,5225 Canyon Crest Dr 71 279,Riverside,92507,"Riverside County, California",2014,12/1/2023,C30: Natural Resources Conservation and Protection,"813312: Environment, Conservation, and Wildlife Organizations",No,No,No,,0,0,0,0,0,0,,0,0,,
46-5029614,You're Not Forgotten-Special Kitties Sanctuaryinc,,,PO Box 1177,Apple Valley,92307,"San Bernardino County, California",2014,12/1/2023,D20: Animal Protection and Welfare,"813312: Environment, Conservation, and Wildlife Organizations",No,No,No,,0,40372,0,100,0,40372,,100,0,,
46-3684468,The Heart of Jesus Ministry,,,9416 Sultana Ave,Fontana,92335,"San Bernardino County, California",2013,12/1/2023,X20: Christian,624210: Community Food Services,No,No,No,,0,45194,0,100,0,47395,0,100,0,,
46-3215175,Wild in North Dakota,,http://www.wildinnorthdakota.com/,41215 Avenida De Los Posas,Murrieta,92562,"Riverside County, California",2014,12/1/2023,D31: Protection of Endangered Species,"813312: Environment, Conservation, and Wildlife Organizations",No,No,No,,0,40911,0,99.99755567,0,83056,,0,14.2012618,,
46-2851075,Sigil Social Foundation,,,41715 Enterprise Cir N 102,Temecula,92590,"Riverside County, California",2014,12/1/2023,P43: Family Violence Shelters and Services,62422: Community Housing Services,No,No,No,,0,42,0,90.47619048,0,21888,,0,0,,
46-2705469,Veterns Supplemental Support Network,VSSN,,23705 Kathryn St,Murrieta,92562,"Riverside County, California",2013,12/1/2023,F60: Counseling Support Groups,624230: Emergency and Relief Services,No,No,No,,0,138000,0,100,0,138000,,0,0,,
45-4839296,4 Paws 4 Patriots,,https://4paws4patriots.org/,27895 Diaz Rd,Temecula,92590,"Riverside County, California",2012,12/1/2023,E50: Rehabilitative Medical Services,813410: Civic and Social Organizations,No,No,No,,0,19832,2,100,0,41394,0,100,0,,
45-4587551,The Inland Foundation,,https://www.shutterfly.com/,25590 Prospect Ave 4F,Loma Linda,92354,"San Bernardino County, California",2013,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,Yes,No,No,,0,34541,0,100,2019,33653,,,0,,
45-2936011,Table of Plenty A California Not for Profit Corporation,,https://tableofplenty.org/,PO Box 22,Beaumont,92223,"Riverside County, California",2011,12/1/2023,"K30: Food Service, Free Food Distribution Programs",624210: Community Food Services,No,No,No,,0,20925,0,100,0,29541,4.286514606,0,0,,
37-1975418,Living Faith Anglican Church Ie Ca,,,PO Box 77083,Corona,92877,"Riverside County, California",2020,12/1/2023,X20: Christian,813110: Religious Organizations,No,No,No,,0,86876,0,100,0,57213,,11.34532362,62.92276231,,
36-5023995,Edgar Family Foundation,,,16717 Weeping Willow Dr,Riverside,92503,"Riverside County, California",2023,12/1/2023,"N60: Amateur Sports Clubs, Leagues",813211: Grantmaking Foundations,No,No,No,,0,0,0,0,0,0,0,0,0,,
36-4911465,Jabez Ministries,,https://jabezministries.org/,358 E Caroline St,San Bernardino,92408,"San Bernardino County, California",2020,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,No,No,No,,0,6670,0,100,0,1800,,,0,,
36-4755807,Grace International Educational Consulting,,,22660 Moralia,Moreno Valley,92557,"Riverside County, California",2014,12/1/2023,B90: Educational Services,611710: Educational Support Services,No,No,No,,0,41560,0,100,0,42900,,0,0,,
33-6217645,The Landecena Family Charitable,,,1070 Pebble Beach Dr,Upland,91784,"San Bernardino County, California",2000,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,No,No,No,,0,25944,0,0,0,118562,,,0,1,1
33-0971075,The Joseph Bailey Foundation,,,PO Box 904,Loma Linda,92354,"San Bernardino County, California",2002,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,No,No,No,,0,0,0,0,0,0,,,0,,
33-0823580,Wolf Mountain Sanctuary,,https://www.wolfmountainsanctuary.org/,PO Box 385,Lucerne Valley,92356,"San Bernardino County, California",1999,12/1/2023,D31: Protection of Endangered Species,"813312: Environment, Conservation, and Wildlife Organizations",Yes,No,No,,0,69050,1,100,0,69050,,0,0,,
33-0742844,Providence Homes for Children,,,9409 Dragon Tree Dr,Hesperia,92344,"San Bernardino County, California",2003,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,No,No,No,,0,0,1,0,0,0,,,0,,
33-0637525,Quinn Community Outreach Corporation,,https://www.qcoc.org/,PO Box 8742,Moreno Valley,92552,"Riverside County, California",1998,12/1/2023,"K30: Food Service, Free Food Distribution Programs",624210: Community Food Services,No,No,No,,0,14375,0,100,0,20919,0,0,1.147282375,,
33-0602834,Vietnamese Evangelical Church of San Bernardino,,,1153 N F St,San Bernardino,92410,"San Bernardino County, California",1995,12/1/2023,X20: Christian,813110: Religious Organizations,No,No,No,,0,133188,1,100,0,112932,,13.66751674,15.93879503,,
33-0496330,Valley Junior Golf Association,,,43537 Ridge Park Dr Ste 100,Temecula,92590,"Riverside County, California",1991,12/1/2023,N6A: Golf,713910: Golf Courses and Country Clubs,No,No,No,,0,0,0,0,0,0,36.96242803,0,0,,
31-1811615,SOUTHERN CALIFORNIA Affordable Housing Corporation,,http://nationalcore.org/,9692 Haven Ave Suite 100,Rancho Cucamonga,91730,"San Bernardino County, California",2001,12/1/2023,L80: Housing Support Services,62422: Community Housing Services,No,No,No,,0,0,0,0,2360,2360,100,0,0,,
30-5510042,Coachella Valley Thrift,,,27298 Sierra Vista Rd,Palm Desert,92260,"Riverside County, California",2000,12/1/2023,P20: Human Service Organizations,624190: Individual and Family Services,No,No,No,,0,0,0,0,0,0,0,0,0,,
27-3317720,Salvadorenos Unidos En El Exterior,,,7908 Mango Ave Apt F4,Fontana,92336,"San Bernardino County, California",2013,12/1/2023,"W00: Public Policy, Public Services Institutions: General",813410: Civic and Social Organizations,No,No,No,,0,98720,1,100,0,98720,0,100,0,,
27-2017412,Sunshine Haven Wildlife Animal Rescue and Rehab,,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FSUNSHINEHAVEN,2594 Harrison St,Riverside,92503,"Riverside County, California",2010,12/1/2023,"D34: Wildlife Sanctuary, Refuge","813312: Environment, Conservation, and Wildlife Organizations",No,No,No,,0,15055,0,100,17566,30326,,0,0,,
27-1880463,On Eagles Wings International,,http://www.oewi.org/,30984 Lolita Rd,Temecula,92592,"Riverside County, California",2013,12/1/2023,X12: Religion-Related Fund Raising and Fund Distribution,813211: Grantmaking Foundations,No,No,No,,0,0,0,0,0,0,,,0,6,1000
26-3366389,Ministerio International Nuevo Nacimiento En Jesuscristo,,,2583 Spring Meadow LN,Highland,92346,"San Bernardino County, California",2010,12/1/2023,X20: Christian,813110: Religious Organizations,No,No,No,,0,0,0,0,0,0,0,0,0,,
20-8911074,Blood Bank of San Bernardino and Riverside Counties Foundation,,,PO Box 1429,San Bernardino,92402,"San Bernardino County, California",2023,12/1/2023,E11: Health Care Single Organization Support,813211: Grantmaking Foundations,No,No,No,,0,0,0,0,0,0,,0,0,,
05-0531636,ChildCare USA,,,1702 Fairway Oaks Ave,Banning,92220,"Riverside County, California",2002,12/1/2023,P33: Child Day Care,624410: Child Day Care Services,No,No,No,,0,0,0,0,0,0,0,0,0,,
46-3051608,Vega Apparel,,,PO Box 1553,Crestline,92325,"San Bernardino County, California",2016,12/1/2023,"S43: Management Services for Small Business, Entrepreneurs",813910: Trade Associations,No,No,No,,4,1,0,100,0,0,,0,0,,
87-2421606,First Serv Foundation,,,27120 Eucalyptus Ave Ste G426,Moreno Valley,92555,"Riverside County, California",2022,12/1/2023,"L00: Housing, Shelter: General",62422: Community Housing Services,No,No,No,,12,118983,1,100,31311,130095,,100.0007687,0,,
82-2949264,Enchanted Valley Equine and Animal Rescue,,,13634 Central Ave,Chino,91710,"San Bernardino County, California",2018,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,Yes,No,No,,19,34499,0,100,3417,34499,,,0,,
82-3260985,Ministries 112,,https://www.ministries112.org/,PO Box 2992,Rancho Cucamonga,91729,"San Bernardino County, California",2018,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,No,No,No,,47,19004,0,100,0,170435,,,0,14,8688
81-0832799,Club Juvenil Soccer Organization,,https://www.clubjuvenils.org/,310 E Philadelphia St SPC 45,Ontario,91761,"San Bernardino County, California",2016,12/1/2023,"N64: Soccer Clubs, Leagues","713990: Amateur Sports, Youth Sports, and Recreational Services",No,No,No,,50,11981,0,0,0,11931,,0,0,,
93-3633492,Americas Route 66 Project Street Team,,https://rte66streetteam.com/,13180 Bassett Dr,Victorville,92392,"San Bernardino County, California",2023,12/1/2023,C50: Environmental Beautification and Open Spaces,813410: Civic and Social Organizations,No,No,No,,85,100,0,100,0,15,,0,0,,
34-2035472,Heart to Heart Foundation,,,23057 Canyon Lake Dr South,Canyon Lake,92587,"Riverside County, California",2006,12/1/2023,E65: Organ and Tissue Bank,813212: Health and Disease Research Fundraising Organizations,No,No,No,,87,203,0,100,0,1039,,7.988450433,0,,
88-2982772,Lees Pony Therapy,,https://www.pizzapony.com/,902 Charles St,Banning,92220,"Riverside County, California",2022,12/1/2023,D60: Other Services-Specialty Animals,813212: Health and Disease Research Fundraising Organizations,No,No,No,,100,18100,0,100,0,20794,,57.70895451,0,,
47-4655614,Karol Kares Nancy Here Charitable,,,2271 Posada CT,Corona,92879,"Riverside County, California",2015,12/1/2023,P80: Services to Promote the Independence of Specific Population Groups,624190: Individual and Family Services,Yes,No,No,,103,4000,0,100,0,0,,0,0,,
68-0636290,Sunny Oasis Rescue,,http://www.sunnyoasisrescue.org/,960 Sixth St 101a 130,Norco,92860,"Riverside County, California",2008,12/1/2023,D20: Animal Protection and Welfare,"813312: Environment, Conservation, and Wildlife Organizations",No,No,No,,120,131254,0,33.94410837,0,135927,,98.37927711,0,,
82-4780149,Allied Education Initiative,,,1794 Bern Dr,Corona,92882,"Riverside County, California",2018,12/1/2023,P20: Human Service Organizations,623990: Other Residential Care Facilities,No,No,No,,123,79500,2,100,0,79377,,99.52505134,0,,
45-3687010,K-Tha,,,44260 Taffle Ranch Rd,Hemet,92544,"Riverside County, California",2013,12/1/2023,D20: Animal Protection and Welfare,"813312: Environment, Conservation, and Wildlife Organizations",No,No,No,,128,77195,0,100,138415,84632,,100,0,,
47-4765468,Hope Ranch Community,,,PO Box 1487,Perris,92570,"Riverside County, California",2016,12/1/2023,"K30: Food Service, Free Food Distribution Programs",624210: Community Food Services,No,No,No,,178,7077,1,100,0,6832,,100,0,,
45-1468746,Jobstead Foundation,,,13134 Orange CT,Chino,91710,"San Bernardino County, California",2014,12/1/2023,J22: Employment Training,813211: Grantmaking Foundations,No,No,No,,225,12183,0,100,0,15613,,0,0,,
83-1781457,Repertory Ballet San Clemente,,http://www.repertoryballetsanclemente.org/,33617 Shamrock LN,Murrieta,92563,"Riverside County, California",2018,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,Yes,No,No,,250,0,0,0,250,0,,,0,,
92-1437038,Only the Family Impact,,,1916 Sandpiper Way,Perris,92571,"Riverside County, California",,12/1/2023,Z99: ,,No,No,No,,257,13291,0,39.0565044,0,13034,,0,0,,
85-2851063,Move Through Motivation,,https://www.movethroughmotivation.com/,5835 Larry Dean St,Eastvale,92880,"Riverside County, California",2021,12/1/2023,N01: Recreation and Sports Alliances and Advocacy,713940: Fitness and Recreational Sports Centers,No,No,No,,262,15791,1,0,5132,21568,,89.9990727,0,,
92-1300797,Humble Hidden Treasures,,,1704 Home Ave,San Bernardino,92411,"San Bernardino County, California",2022,12/1/2023,"L41: Homeless, Temporary Shelter",62422: Community Housing Services,No,No,No,,288,10358,0,78.27765978,0,10070,18.54021847,80,17.88480636,,
26-3154865,Mission Evangelica Pentecotes Monte de Santidad,,,3643 Pinto Pl,Ontario,91761,"San Bernardino County, California",2011,12/1/2023,X20: Christian,813110: Religious Organizations,No,No,No,,294,45993,0,100,0,45699,,0,0,,
95-4674333,Temecula Valley Harley Owners Group,,,30570 Lily Pond LN,Murrieta,92563,"Riverside County, California",2002,12/1/2023,N03: Recreation and Sports Professional Societies and Associations,813410: Civic and Social Organizations,No,No,No,,299,2960,0,57.77027027,0,3463,0,0,0,,
81-1038432,Uplifting Youth Foundation,,https://weupliftnyc.org/?lang=en,15974 Sunburst Dr,Fontana,92336,"San Bernardino County, California",2023,12/1/2023,"A20: Arts, Cultural Organizations",624110: Child and Youth Services,No,No,No,,306,4197,0,100,0,10916,,0,0,,
88-4058739,Coachella Valley Pharmacists Association,,,78055 Cobalt CT,La Quinta,92253,"Riverside County, California",,12/1/2023,Z99: ,,No,No,No,,325,325,0,100,0,0,,0,0,,
92-0342580,Templo Filadelfia Iglesia Cristiana,,,1235 N Sierra Way,San Bernardino,92405,"San Bernardino County, California",2022,12/1/2023,X20: Christian,813110: Religious Organizations,No,No,No,,326,9678,0,100,0,9352,,0,0,,
46-3097427,Phenom Baseball,,,26563 Rhone CT,Moreno Valley,92555,"Riverside County, California",2013,12/1/2023,"N63: Baseball, Softball","713990: Amateur Sports, Youth Sports, and Recreational Services",No,No,No,,346,71192,0,36.23581301,0,70846,100,0,0,,
92-3862681,Mountain Top Worship Center,,,1030 N Mountain Ave Ste 240,Ontario,91762,"San Bernardino County, California",2023,12/1/2023,X20: Christian,813110: Religious Organizations,No,No,No,,350,0,0,0,0,1150,,0,0,,
85-2957105,Lifelines for Felines,,,50371 Mecca Rd,Morongo Valley,92256,"San Bernardino County, California",2021,12/1/2023,D20: Animal Protection and Welfare,"813312: Environment, Conservation, and Wildlife Organizations",No,No,No,,367,11889,1,100,0,12025,,0,0,,
85-3574063,Crusty Crew Rescue,,https://www.crustycrewrescue.org/,PO Box 1530,Running Springs,92382,"San Bernardino County, California",2021,12/1/2023,D20: Animal Protection and Welfare,"813312: Environment, Conservation, and Wildlife Organizations",No,No,No,,379,84754,1,100,0,85030,,68.27002235,0,,
87-3843732,Little House Construction,LLC,,29574 Hazel Glen Rd,Murrieta,92563,"Riverside County, California",2022,12/1/2023,"W00: Public Policy, Public Services Institutions: General",62422: Community Housing Services,No,No,No,,388,15635,0,0,0,15247,,0,0,,
86-3112299,Enr Foundation,,,10752 Oakwood Ave,Hesperia,92345,"San Bernardino County, California",2021,12/1/2023,"P70: Residential, Custodial Care (Group Home)",624190: Individual and Family Services,No,No,No,,400,7700,0,100,0,7300,,30.1369863,0,,
85-2495317,American Patriot Vanguard MC,,,33664 Colorado St,Yucaipa,92399,"San Bernardino County, California",2020,12/1/2023,"W00: Public Policy, Public Services Institutions: General",813410: Civic and Social Organizations,No,No,No,,410,1214,0,190.4448105,0,804,,100,0,,
45-5260119,Canine Hope for Heroes,,,1348 Zirconia St,Hemet,92543,"Riverside County, California",2012,12/1/2023,D60: Other Services-Specialty Animals,"813312: Environment, Conservation, and Wildlife Organizations",No,No,No,,421,6392,1,100,16955,7475,,100,0,,
93-1830400,SKS Park Family Foundation,,,3156 E Olympic Dr,Ontario,91762,"San Bernardino County, California",2022,12/1/2023,"W00: Public Policy, Public Services Institutions: General",813211: Grantmaking Foundations,No,No,No,,436,2000,0,100,0,1564,100,0,0,,
83-4200755,Riverside Studios,,https://riversidefilmstudios.org/,PO Box 912,Riverside,92502,"Riverside County, California",2019,12/1/2023,"W00: Public Policy, Public Services Institutions: General",813211: Grantmaking Foundations,Yes,No,No,,488,9214,0,0,0,9453,39.59589548,60.40410452,0,,
47-2164695,Art Foundation of Desert Hot Springs,,https://artfoundationdhs.org/,13569 Overlook Dr,Desert Hot Springs,92240,"Riverside County, California",2015,12/1/2023,"A40: Visual Art Organizations, Services","7113: Promoters of Performing Arts, Sports, and Similar Events",No,No,No,,500,3360,0,100,0,4958,,0,0,,
83-0793896,Lincoln Foundation of Riverside County,,,12295 Magnolia Ave,Riverside,92503,"Riverside County, California",2019,12/1/2023,B00: Education: General,813211: Grantmaking Foundations,No,No,No,,506,5300,0,100,0,9413,,0.265590141,0,,
88-2595823,Rocking 37 Ranch,,,7949 3rd Ave,Hesperia,92345,"San Bernardino County, California",2022,12/1/2023,"W30: Military, Veterans Organizations",624190: Individual and Family Services,No,No,No,,520,10168,0,100,4451,13396,,86.0704688,0,,
92-2853942,ZecHub,,https://zechub.wiki/,6649 Amethyst Ave PO Box 8321,Rancho Cucamonga,91701,"San Bernardino County, California",,12/1/2023,Z99: ,,No,No,No,,547,71687,0,99.86747946,0,72834,,22.49910756,73.59200373,,
86-2416189,Children First Nonprofit,,http://www.childrenfirstnonprofit.com/,21011 Bear Valley Rd,Apple Valley,92308,"San Bernardino County, California",2021,12/1/2023,"P84: Ethnic, Immigrant Centers and Services",624110: Child and Youth Services,No,No,No,,559,29205,0,100,0,29417,,100,0,,
26-3642820,Enhance the Gift Ministries,,,10030 Cartagena Dr,Moreno Valley,92557,"Riverside County, California",2014,12/1/2023,"A60: Performing Arts Organizations, Activities",711190: Other Performing Arts Companies,No,No,No,,577,16756,0,100,0,37539,,34.77716508,34.70790378,,
82-1392540,Kaleidoscope Lights,,,17977 Merrill Ave,Fontana,92335,"San Bernardino County, California",2022,12/1/2023,P20: Human Service Organizations,624110: Child and Youth Services,No,No,No,,580,1075,0,86.04651163,0,1055,,0,0,,
82-4472993,Love America,,https://love-america.org/,11251 Sierra Ave 440 Ste 2e-,Fontana,92337,"San Bernardino County, California",2019,12/1/2023,"W00: Public Policy, Public Services Institutions: General",813110: Religious Organizations,No,No,No,,586,92010,0,90.44234322,1019,94549,90.82617753,0,0,,
82-4478598,Chonnam National University Foundation,,,1513 Chalgrove Dr,Corona,92882,"Riverside County, California",2019,12/1/2023,B84: Alumni Associations,813211: Grantmaking Foundations,No,No,No,,621,144900,0,13.73360939,0,144279,,100,0,,
93-1930420,Stamp Out Scams,,https://stampoutscams.org/,1775 E Palm Canyon Dr 110-1053,Palm Springs,92264,"Riverside County, California",2023,12/1/2023,I80: Legal Services,813319: Social Advocacy Organizations,No,No,No,,672,10000,0,100,0,9328,,0,0,,
45-4958708,Fontana Futbol Club,,,350 E S St,Rialto,92376,"San Bernardino County, California",2012,12/1/2023,"N64: Soccer Clubs, Leagues","713990: Amateur Sports, Youth Sports, and Recreational Services",Yes,No,No,,695,43656,0,0,12175,44028,0.533751249,99.46624875,0,,
82-1776810,iPittytheBull Foundation,,,13125 Nighthawk CT,Chino,91710,"San Bernardino County, California",2018,12/1/2023,D20: Animal Protection and Welfare,"813312: Environment, Conservation, and Wildlife Organizations",No,No,No,,702,9955,1,100,2801,7698,,89.04910366,0,,
20-2533835,Adonai Childrens Learning Center,,,PO Box 1312,Palm Desert,92261,"Riverside County, California",2007,12/1/2023,Q33: International Relief,624110: Child and Youth Services,Yes,No,No,,744,18845,0,100,0,19115,,0,0,,
20-2970429,Global Institute for Tibetan Medicine,,http://www.globaltibetmed.org/,31966 Avenida Mallari,Temecula,92591,"Riverside County, California",2020,12/1/2023,H90: Medical Specialty Research,5417: Scientific Research and Development Services,No,No,No,,795,37454,0,100,0,45240,,96.42351901,4.714854111,,
37-1775778,Spark of Hope Care,,,690 E Cerritos Ave,Rialto,92376,"San Bernardino County, California",2014,12/1/2023,P81: Senior Centers and Services,624230: Emergency and Relief Services,Yes,No,No,,800,32110,0,0,0,31773,19.99496428,80.00503572,46.48601013,,
92-1113983,Salvadorenos En San Bernardino Cali,,,967 Kendall Dr Ste A315,San Bernardino,92407,"San Bernardino County, California",2024,12/1/2023,"P84: Ethnic, Immigrant Centers and Services",813410: Civic and Social Organizations,No,No,No,,826,3691,0,100,0,3036,,99.96706192,0,,
31-1708788,Idyllwild Community Center,,https://www.idyllwildcommunitycenter.org/,PO Box 1770,Idyllwild,92549,"Riverside County, California",2004,12/1/2023,N31: Community Recreational Centers,713940: Fitness and Recreational Sports Centers,No,Yes,No,,8345489,789829,3,88.08438282,3808,431511,70.04178341,29.95821659,40.51159762,,
83-1048882,Fostering Kids For Life,,https://fosteringkidsforlife.wixsite.com/fosteringkidsforlife,32000 Riverside Dr SP D 16,Lake Elsinore,92530,"Riverside County, California",2018,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,No,No,No,,852,100,0,100,0,0,,,0,,
47-1019585,Beaumont Cougars Jaaf,,,660 Orange Ave,Beaumont,92223,"Riverside County, California",2014,12/1/2023,"N60: Amateur Sports Clubs, Leagues","713990: Amateur Sports, Youth Sports, and Recreational Services",No,No,No,,861,222495,0,100,667,261477,0,100,0,,
54-2083420,Peace,,,1581 Cherokee Rd,Corona,92881,"Riverside County, California",2003,12/1/2023,"Q30: International Development, Relief Services","813312: Environment, Conservation, and Wildlife Organizations",No,No,No,,906,0,0,0,0,0,,0,0,,
86-3114405,Tesla Owners Club of Riverside County,,,PO Box 894053,Temecula,92589,"Riverside County, California",,12/1/2023,Z99: ,,No,No,No,,928,2721,0,2.609334803,3664,3444,,0,0,,
86-2952520,Numberbender,,,909 Armory Rd 437 Ste PMB,Barstow,92311,"San Bernardino County, California",2023,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,No,No,No,,1000,1000,0,100,0,26965,,,0,,
35-2560282,Southern California Football League,,,967 Kendall Dr,San Bernardino,92407,"San Bernardino County, California",2016,12/1/2023,"N65: Football Clubs, Leagues","713990: Amateur Sports, Youth Sports, and Recreational Services",No,No,No,,1014,26889,0,73.96333073,0,26475,20.07554297,79.92445703,55.14636449,,
80-0502450,Giving 365,,,7731 Port Arthur Dr,Corona,92880,"Riverside County, California",2011,12/1/2023,P20: Human Service Organizations,624190: Individual and Family Services,No,No,No,,1057,65481,1,54.18518349,0,66024,,45.43802254,7.573003756,,
45-5534859,Communaute Du Mont Carmel USA,,https://www.montcarmelusa.com/,37679 Townsville CT,Murrieta,92563,"Riverside County, California",2018,12/1/2023,X20: Christian,813110: Religious Organizations,No,No,No,,1093,142543,0,100,0,142101,,99.54187515,54.12488301,,
83-3552505,High Desert Bulldogs Youth and Cheer,,,12463 Goldstone Dr,Victorville,92392,"San Bernardino County, California",2023,12/1/2023,"N65: Football Clubs, Leagues","713990: Amateur Sports, Youth Sports, and Recreational Services",No,No,No,,1154,60330,0,100,0,60535,,0,0,,
20-4672571,Women Reaching Women for Christ Ministries,,,1852 Duncan Way,Corona,92881,"Riverside County, California",2014,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,No,No,No,,1171,575,0,100,0,2683,,,0,,
83-4288341,Divine Gospel Church Ministries,,https://divinegm.com/,2661 S Carl Pl,San Bernardino,92408,"San Bernardino County, California",2019,12/1/2023,X20: Christian,813110: Religious Organizations,No,No,No,,1173,19957,0,100,0,21431,,100,0,,
27-1558030,Fontana Soccer Association,,,8623 Citrus Ave,Fontana,92335,"San Bernardino County, California",2011,12/1/2023,"N64: Soccer Clubs, Leagues","713990: Amateur Sports, Youth Sports, and Recreational Services",No,No,No,,1218,8351,0,100,0,8323,0,0,0,,
86-2740218,Pastor Tiffany Ministries,,https://pastortiffany.com/,PO Box 2429,Apple Valley,92307,"San Bernardino County, California",2021,12/1/2023,X20: Christian,813211: Grantmaking Foundations,No,No,No,,1233,3066,0,100,0,1833,,,0,,
84-4239468,Fetch Media Matters,,https://www.fetchmediamatters.org/,26983 Pilgrim Rd,Redlands,92373,"San Bernardino County, California",2021,12/1/2023,D20: Animal Protection and Welfare,"813312: Environment, Conservation, and Wildlife Organizations",No,No,No,,1245,1769,0,100,0,1062,,100,0,,
83-0594405,Highland Lighthouse Church,,,PO Box 1403,Highland,92346,"San Bernardino County, California",2019,12/1/2023,X20: Christian,813110: Religious Organizations,No,No,No,,1277,51813,0,91.44809218,0,51257,,98.18366272,0,,
81-2233353,Ie Divas Connection,,,2420 Chrintine St,San Bernardino,92407,"San Bernardino County, California",2016,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,No,No,No,,1277,41814,0,100,0,40386,,,0,,
88-3824919,West Shores Property Owners,,,3389 Seaview Ave,Thermal,92274,"Riverside County, California",2025,12/1/2023,"L50: Housing Owners, Renters Organizations",813990: Sports Regulatory Associations and Property Owner Associations,No,No,No,,1283,6342,0,14.50646484,0,5059,,0,0,,
83-0652777,Malcolms Heart,,https://www.malcolmsheartinc.org/,10950 Arrow Rte 3002,Rancho Cucamonga,91730,"San Bernardino County, California",2018,12/1/2023,G81: HIV / AIDS,624190: Individual and Family Services,No,No,No,,1285,11729,1,100,0,10444,,110.2068173,0,,
87-2191467,Rostros y Corazon,,,2198 Cleveland Ave,Thermal,92274,"Riverside County, California",2022,12/1/2023,Z99: ,813319: Social Advocacy Organizations,No,No,No,,1300,8796,0,0,1824,6912,,0,0,,
46-5588388,Coachella Valley Children's Medical center Foundation,,http://www.coachellavalleycmc.org/,52565 Cesar Chavez St 104,Coachella,92236,"Riverside County, California",2016,12/1/2023,E11: Health Care Single Organization Support,813211: Grantmaking Foundations,No,No,No,,1344,1000,0,100,0,58,,0,0,,
95-3801409,Palm Springs Genealogical Society,,http://palmspringsgensoc.org/,PO Box 2093,Palm Springs,92263,"Riverside County, California",2019,12/1/2023,"A80: Historical Societies, Historical Preservation",813410: Civic and Social Organizations,No,No,No,,1378,3789,0,100,0,3509,,,0,,
84-2464258,Romeo and Friends,,,PO Box 7812,Norco,92860,"Riverside County, California",2019,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,No,No,No,,1382,6963,0,26.68390062,0,6300,,,0,,
85-3192576,Ramo Youth Restoration Program,,,1525 N Palm Ave Apt 3,Rialto,92376,"San Bernardino County, California",2021,12/1/2023,O12: Youth Development Fund Raising and Fund Distribution,624110: Child and Youth Services,No,No,No,,1440,20637,0,100,0,20581,,28.71580584,14.75632865,,
20-3523235,Inland Valley Baseball Association,,https://inlandvalleybaseball.com/,2546 Cliff Rd,Upland,91784,"San Bernardino County, California",2016,12/1/2023,"N63: Baseball, Softball","713990: Amateur Sports, Youth Sports, and Recreational Services",No,No,No,,1455,8421,0,100,16000,11363,,32.23620523,0,,
87-2318556,Bread of Life CCS,,,3120 Parkside Dr,San Bernardino,92404,"San Bernardino County, California",2023,12/1/2023,X20: Christian,813110: Religious Organizations,No,No,No,,1480,74398,0,100,0,108602,,100,0,,
20-4664283,Peace Ministries,,,15938 Almond Ave,Chino,91708,"San Bernardino County, California",2015,12/1/2023,X20: Christian,813110: Religious Organizations,No,No,No,,1500,16219,0,100,0,16219,,100,0,,
46-1190012,Phra Borommathart Doisuthep Foundation USA,,,2948 Chino Hills Pkwy,Chino Hills,91709,"San Bernardino County, California",2012,12/1/2023,X50: Buddhist,813110: Religious Organizations,No,No,No,,1506,100,0,0,0,5000,0,100,0,,
85-2957717,Make A Fish,,,5381 Parma Ave,Fontana,92336,"San Bernardino County, California",2022,12/1/2023,X20: Christian,624210: Community Food Services,No,No,No,,1539,10541,0,100,8031,22882,,0,0,,
33-0921780,Mission Africa 2000,,,PO Box 7175,Moreno Valley,92552,"Riverside County, California",2000,12/1/2023,P12: Human Services Fund Raising and Fund Distribution,624230: Emergency and Relief Services,No,No,No,,1545,46602,0,79.61031715,0,46256,19.99740574,80.00259426,64.20788654,,
46-3383062,MSK Family Foundation,,,1014 Lowry Ranch Rd,Corona,92881,"Riverside County, California",2014,12/1/2023,P20: Human Service Organizations,813211: Grantmaking Foundations,No,No,No,,1555,0,0,0,0,0,,0,0,,
